                frame                 | number |       log        
--------------------------------------+--------+------------------
 c23453c4-8320-406e-af67-8b166dc898fc |      0 | 6.34556219740787
 bbddecd3-74fd-4b7e-a773-66d5ecf05392 |      1 | 5.08311058340606
 1adfbf29-e948-4f5b-8f2c-1471aff58011 |      2 | 5.06669571635115
 b043ae70-2dec-4d5f-b737-387f3ab183ef |      3 | 4.99477659870996
 7a72579b-9459-4584-a6f1-8c959f2390a6 |      4 |  5.0478748021154
 f12a14ad-122d-4096-9376-526f7b62eba4 |      5 | 5.06050229021977
 0422b4b1-2dcb-4a7c-9fbd-2fbd43ee8c19 |      6 | 4.98273755072134
 c4742e5c-e228-4ce4-b298-ff0c02a4b443 |      7 | 5.03278988709648
 135cf6ba-ba76-4a7b-8ec8-364e5f683216 |      8 | 5.09495118692074
 583e66bf-7618-471a-9d9a-52af94e5d5e6 |      9 | 5.02670763686772
 b7e03dd6-5baa-4a82-b80b-70df5cfe0561 |     10 | 5.82925309307757
 ec350e36-9160-4536-9fb1-66634ffa06f1 |     11 | 5.67770138522147
 d2af6b5d-d03d-4771-8d90-5a06fad448c6 |     12 | 5.63410973350492
 1249cc94-2eac-4d09-a0b9-423a524dd05d |     13 | 5.64745123208557
 85eb8ffe-5e48-4c56-9f29-6bd23290b000 |     14 |  5.6102433765582
 19ba9071-7b34-4f51-8505-68cb32b05bb3 |     15 | 5.63790852208491
 086e01cb-9339-45b9-8860-525790ad7988 |     16 | 5.62149352386374
 94046add-28ca-4b7c-9522-2c4ccf97b609 |     17 | 5.69044912753776
 b0b7e2a8-5b21-43e0-9edc-8685fdb77417 |     18 | 5.60104274845598
 363a98a7-1717-4a9f-8926-494c65e044cc |     19 | 5.50184468275104
 a40a593f-9777-45bb-86b1-cbb7fd850654 |     20 | 5.88461937684459
 9bf9d37e-174d-4b22-8353-def6ff54c7fd |     21 | 5.88510121553838
 691a5393-f651-4e0b-b948-ca37c0cf04ed |     22 | 5.83890377550293
 a48023b2-de08-4c06-8d0e-d341b3fa42b3 |     23 |  5.8876837118353
 e4d40ab5-a3de-4d7a-b045-e08e23d24ea5 |     24 | 5.87291442928358
 fb971d51-b904-4077-9ea0-3ac3f47291ae |     25 | 5.91638772497662
 a2242edc-ff7c-44c7-b313-7709bf7e9e78 |     26 | 5.84337352931362
 ea7bd847-e71d-4cd1-becd-bbda54991e0a |     27 | 5.85226826967106
 f905fc26-6ada-42ee-8283-536cf853bca6 |     28 | 5.85174956330981
 2c7adcbe-a4f0-4fb7-821e-ed35ccc591e0 |     29 | 5.83176987909026
 8ce92321-6861-478c-891e-916ea5721ba2 |     30 |  5.9225043711351
 a41ce7fe-0799-4dfe-a9a0-951c4b47522a |     31 | 5.94409619299998
 22ef67ba-e772-46a3-b1c3-8f68aa9fe306 |     32 | 5.94856798038701
 97e57b1e-f4d7-4881-b1b2-884cb928870e |     33 | 5.93332259648328
 a5f66504-7022-4205-9b00-6eb4dcdc053e |     34 |  5.9612525775947
 559fbf89-c171-4ecb-a11b-b76fc63ff30d |     35 | 5.94189449992639
 4719d644-e004-48b2-8a1a-d4bc4effb6b2 |     36 |  5.9376270129358
